class,additional O,class_name,R_group,composition,Unnamed: 5,Unnamed: 6,priority_NP,priority_RP,combined,measurement,chem,chains
TG,0.0,triacylglycerol,FA,,,,,10.0,,RP_pos_NH3; RP_pos_Na; RP_pos_K,C6H5O6,3
TG,1.0,,,,_OH,,,3.0,,RP_pos_NH3,C6H5O7,3
TG,2.0,,,,_2OH,,,3.0,,RP_pos_NH3,C6H5O8,3
TG O-,0.0,alkyl-diacylglycerol,,,,O-,,10.0,,RP_pos_NH3; RP_pos_Na; RP_pos_K,C6H7O5,3
?,0.0,,,BC-,,,,3.1,,RP_pos_NH3; RP_pos_Na; RP_pos_K,C6H5O6,3
?,0.0,,,diBC-,,,,3.1,,RP_pos_NH3; RP_pos_Na; RP_pos_K,C6H5O6,3
DG,0.0,diacylglycerol,FA,,,,,10.0,,RP_pos_NH3; RP_pos_Na; RP_pos_K,C5H6O5,2
DG,1.0,,,,_OH,,,3.0,,RP_pos_NH3; RP_pos_Na; RP_pos_K,C5H6O6,2
DG,2.0,,,,_2OH,,,3.0,,RP_pos_NH3; RP_pos_Na; RP_pos_K,C5H6O7,2
DG O-,0.0,alkyl-acylglycerol,,,,O-,,10.0,DG_O,RP_pos_NH3; RP_pos_Na; RP_pos_K,C5H8O4,2
?,0.0,,,BC-,,,,3.1,,RP_pos_NH3; RP_pos_Na; RP_pos_K,C5H6O5,2
MG,0.0,monoacylglycerol,FA,,,,,5.0,,RP_pos_NH3; RP_pos_Na,C4H7O4,1
MG,1.0,,,,_OH,,,3.0,,RP_pos_NH3; RP_pos_Na,C4H7O5,1
MG,2.0,,,,_2OH,,,3.0,,RP_pos_NH3; RP_pos_Na,C4H7O6,1
MG O-,0.0,alkylglycerol,,,,O-,,5.0,MG_O,RP_pos_NH3; RP_pos_Na,C4H9O3,1
?,0.0,,,BC-,,,,3.1,,RP_pos_NH3; RP_pos_Na,C4H7O4,1
CE,0.0,cholesteryl ester,FA,,,,,10.0,,RP_pos_NH3; RP_pos_Na; RP_pos_K,C28H45O2,1
CE,1.0,,,,_OH,,,3.0,,RP_pos_NH3; RP_pos_Na; RP_pos_K,C28H45O3,1
CE,2.0,,,,_2OH,,,3.0,,RP_pos_NH3; RP_pos_Na; RP_pos_K,C28H45O4,1
?,0.0,,,BC-,,,,3.1,,RP_pos_NH3; RP_pos_Na; RP_pos_K,C28H45O2,1
PC,0.0,phosphatidylcholine,FA,,,,10.0,10.0,,NP_pos_0; RP_pos_0; NP_neg_HCl; RP_neg_HCl; NP_neg_CH2O2; RP_neg_CH2O2,C10H18NO8P,2
PC,1.0,,,,_OH,,3.0,3.0,,NP_pos_0; RP_pos_0,C10H18NO9P,2
PC,2.0,,,,_2OH,,3.0,3.0,,NP_pos_0; RP_pos_0,C10H18NO10P,2
PC,3.0,,,,_3OH,,3.0,3.0,,NP_pos_0; RP_pos_0,C10H18NO11P,2
PC O-,0.0,alkyl-acylphosphatidylcholine,,,,O-,-1.0,10.0,PC_O,NP_pos_0; RP_pos_0; NP_neg_HCl; RP_neg_HCl; NP_neg_CH2O2; RP_neg_CH2O2,C10H20NO7P,2
