SUB_CLASS,CATEGORY,MAIN_CLASS,KMD,ROW_COUNT,GENERAL_ABBREVIATION,ASSOCIATED_LIPID_MAPS_EXAMPLES
Acylceramides [SP0204],Sphingolipids [SP],Ceramides [SP02],0.8756,18,ACer X:1;O2,"['ACer 48:1;O2', 'ACer 50:1;O2', 'ACer 52:1;O2', 'ACer 54:1;O2', 'ACer 56:1;O2', 'ACer 58:1;O2', 'ACer 60:1;O2', 'ACer 59:1;O2', 'ACer 57:1;O2', 'ACer 52:1;O2', 'ACer 50:1;O2', 'ACer 54:1;O2', 'ACer 56:1;O2', 'ACer 58:1;O2', 'ACer 60:1;O2', 'ACer 62:1;O2', 'ACer 64:1;O2', 'ACer 66:1;O2']"
Acylceramides [SP0204],Sphingolipids [SP],Ceramides [SP02],0.8392,42,ACer X:2;O3,"['ACer 70:2;O3', 'ACer 69:2;O3', 'ACer 68:2;O3', 'ACer 67:2;O3', 'ACer 66:2;O3', 'ACer 67:2;O3', 'ACer 68:2;O3', 'ACer 69:2;O3', 'ACer 68:2;O3', 'ACer 67:2;O3', 'ACer 71:2;O3', 'ACer 70:2;O3', 'ACer 69:2;O3', 'ACer 68:2;O3', 'ACer 67:2;O3', 'ACer 66:2;O3', 'ACer 65:2;O3', 'ACer 66:2;O3', 'ACer 67:2;O3', 'ACer 68:2;O3', 'ACer 69:2;O3', 'ACer 70:2;O3', 'ACer 66:2;O3', 'ACer 67:2;O3', 'ACer 68:2;O3', 'ACer 69:2;O3', 'ACer 70:2;O3', 'ACer 71:2;O3', 'ACer 72:2;O3', 'ACer 68:2;O3', 'ACer 69:2;O3', 'ACer 70:2;O3', 'ACer 71:2;O3', 'ACer 72:2;O3', 'ACer 69:2;O3', 'ACer 70:2;O3', 'ACer 71:2;O3', 'ACer 72:2;O3', 'ACer 72:2;O3', 'ACer 62:2;O3', 'ACer 64:2;O3', 'ACer 65:2;O3']"
Acylceramides [SP0204],Sphingolipids [SP],Ceramides [SP02],0.8163,29,ACer X:2;O4,"['ACer 68:2;O4', 'ACer 66:2;O4', 'ACer 67:2;O4', 'ACer 68:2;O4', 'ACer 65:2;O4', 'ACer 64:2;O4', 'ACer 67:2;O4', 'ACer 66:2;O4', 'ACer 65:2;O4', 'ACer 64:2;O4', 'ACer 67:2;O4', 'ACer 69:2;O4', 'ACer 70:2;O4', 'ACer 69:2;O4', 'ACer 68:2;O4', 'ACer 67:2;O4', 'ACer 66:2;O4', 'ACer 67:2;O4', 'ACer 68:2;O4', 'ACer 69:2;O4', 'ACer 68:2;O4', 'ACer 69:2;O4', 'ACer 70:2;O4', 'ACer 71:2;O4', 'ACer 70:2;O4', 'ACer 71:2;O4', 'ACer 72:2;O4', 'ACer 69:2;O4', 'ACer 70:2;O4']"
Acylceramides [SP0204],Sphingolipids [SP],Ceramides [SP02],0.757,1,ACer X:3;O6,['ACer 86:3;O6']
Acylceramides [SP0204],Sphingolipids [SP],Ceramides [SP02],0.7665,1,ACer X:4;O5,['ACer 92:4;O5']
Monoacylglycerophosphoethanolamine glycans [GP2105],Glycerophospholipids [GP],Glycerophosphoethanolamine glycans [GP21],0.6513,4,Am-Hex-LPE X:0,"['Am-Hex-LPE 18:0', 'Am-Hex-LPE 16:0', 'Am-Hex-LPE 32:0', 'Am-Hex-LPE 36:0']"
"1-alkyl,2-acylglycerophosphoethanolamine glycans [GP2102]",Glycerophospholipids [GP],Glycerophosphoethanolamine glycans [GP21],0.6379,2,Am-Hex-PE O-X:1,"['Am-Hex-PE O-36:1', 'Am-Hex-PE O-34:1']"
"1-(1Z-alkenyl),2-acylglycerophosphoethanolamine glycans [GP2103]",Glycerophospholipids [GP],Glycerophosphoethanolamine glycans [GP21],0.6379,2,Am-Hex-PE O-X:2,"['Am-Hex-PE O-36:2', 'Am-Hex-PE O-34:2']"
Diacylglycerophosphoethanolamine glycans [GP2101],Glycerophospholipids [GP],Glycerophosphoethanolamine glycans [GP21],0.6149,1,Am-Hex-PE X:0,['Am-Hex-PE 34:0']
Fatty acyl adenylates [FA0708],Fatty Acyls [FA],Fatty esters [FA07],0.6392,3,AMP X:0,"['AMP 6:0', 'AMP 18:0', 'AMP 12:0']"
